GamerTag,Game,Skill_Level,Kills,Hours_Played,Swag_Score
ShadowReaper29,GTA V,5,1714,1821,1.5
SolarFlare47,GTA V,21,2745,679,2.7
ViperX59,COD Mobile,96,4621,1949,8.8
ViperX59,COD Mobile,96,4621,1949,8.8
ViperX59,COD Mobile,96,4621,1949,8.8
ShadowReaper79,Minecraft,68,464,672,9.4
PixelPhantom30,Minecraft,45,1968,739,9.3
ShadowReaper40,GTA V,18,1131,683,5.1
MysticByte89,Minecraft,71,1437,1068,1.3
ToxicSamurai93,Apex Legends,96,2566,784,5.5
SolarFlare68,Apex Legends,11,15,434,7.4
DarkNova38,Apex Legends,38,3137,1591,2.7
GalaxyRider11,Apex Legends,41,356,11,4.7
PixelPhantom15,Valorant,1,3406,1921,7.4
ToxicSamurai44,COD Mobile,84,3331,1545,7.9
MysticByte88,GTA V,40,368,1057,2.3
MysticByte53,GTA V,47,992,1541,4.7
MysticByte51,Valorant,73,186,1044,7.9
NeonNinja78,Fortnite,77,596,1856,5.8
GhostRider74,GTA V,31,2252,1724,1.2
GhostRider74,GTA V,31,,1724,
GhostRider74,GTA V,31,2252,1724,1.2
NightCrawler37,GTA V,35,4597,1210,3.2
FrostByte15,Valorant,48,2182,341,1.4
CyberWolf76,GTA V,97,2988,614,5.8
SolarFlare80,Minecraft,60,1112,801,7.4
CyberWolf24,GTA V,99,1498,1073,5.4
CyberWolf99,COD Mobile,78,3467,441,4.4
NightCrawler30,Apex Legends,73,4352,1003,7.0
GalaxyRider65,Apex Legends,32,1177,202,3.9
RavenBlade57,Fortnite,17,4099,1106,4.4
ViperX67,COD Mobile,50,895,379,2.6
DarkNova34,COD Mobile,91,333,1398,8.4
MysticByte92,Minecraft,44,827,458,3.3
IronFang91,GTA V,80,2743,659,2.6
MysticByte49,Valorant,72,4666,617,4.6
ToxicSamurai65,COD Mobile,82,2303,245,6.6
ViperX54,Valorant,48,4613,1603,9.8
ShadowReaper87,Fortnite,2,2051,538,7.7
EchoStorm82,Fortnite,43,4831,1475,8.8
FrostByte74,Valorant,61,3535,1106,8.7
SolarFlare96,Fortnite,65,1188,605,3.3
RavenBlade30,Valorant,41,3668,1626,6.1
DarkNova17,Fortnite,66,601,47,6.8
AlphaWolf21,Minecraft,51,61,1920,3.6
NightCrawler62,Fortnite,21,737,972,5.4
CrimsonSpectre21,Fortnite,93,1359,38,5.8
RavenBlade96,Valorant,43,3415,1737,4.7
BlazeKing57,Apex Legends,90,1715,1901,9.6
ToxicSamurai34,GTA V,17,3841,1853,2.7
EchoStorm26,Minecraft,15,1445,1924,5.0
NightCrawler87,GTA V,3,620,615,1.4
IronFang46,Valorant,72,651,172,7.5
AlphaWolf32,GTA V,39,225,1650,4.0
ThunderKid77,Minecraft,33,237,1977,2.2
PixelPhantom91,GTA V,55,4140,1377,9.8
NightCrawler35,Valorant,65,4585,1650,6.9
CyberWolf29,Valorant,47,4380,371,2.6
CrimsonSpectre33,COD Mobile,5,4301,726,9.2
ThunderKid33,Minecraft,8,476,732,3.6
CyberWolf26,Valorant,12,550,1885,8.2
ToxicSamurai29,Valorant,80,4929,919,8.4
FrostByte33,Valorant,95,365,197,7.1
ShadowReaper78,Apex Legends,53,0,657,2.4
PixelPhantom43,Minecraft,62,500,957,5.6
ViperX70,Fortnite,54,379,274,1.4
FrostByte84,Apex Legends,62,1735,1113,7.5
AlphaWolf69,GTA V,41,1420,308,4.6
SolarFlare20,Fortnite,58,2337,850,9.1
ShadowReaper18,GTA V,30,2012,1221,7.2
FrostByte75,COD Mobile,52,799,1158,6.1
GalaxyRider38,Minecraft,40,2979,672,9.1
MysticByte79,Fortnite,70,4176,1956,4.4
GhostRider68,GTA V,98,2110,43,9.6
AlphaWolf61,GTA V,72,4884,967,5.5
FrostByte58,Fortnite,67,127,1515,7.9
BlazeKing84,Minecraft,19,4901,1368,2.7
GalaxyRider52,Fortnite,80,2040,1561,2.9
CrimsonSpectre31,Fortnite,2,3800,721,3.0
ThunderKid49,Apex Legends,11,3070,419,5.6
ViperX89,Fortnite,62,2779,194,6.7
ViperX70,Apex Legends,60,1143,265,2.8
ToxicSamurai96,Valorant,2,4476,1977,4.5
ToxicSamurai88,Valorant,49,1273,765,5.0
RavenBlade60,Minecraft,17,757,1602,7.7
RavenBlade33,Valorant,36,3649,1637,9.8
AlphaWolf32,COD Mobile,92,1844,46,7.2
IronFang81,Valorant,87,1797,53,1.9
ThunderKid69,GTA V,1,1962,567,5.3
ViperX80,Fortnite,1,4452,1503,2.8
CrimsonSpectre46,COD Mobile,97,503,700,8.5
PixelPhantom55,Apex Legends,12,3091,1717,1.0
ThunderKid19,COD Mobile,96,2360,1616,6.5
AlphaWolf68,Minecraft,8,43,1950,4.1
DarkNova85,Minecraft,71,2256,69,5.5
ViperX88,Fortnite,23,4845,335,3.4
BlazeKing90,Apex Legends,45,1593,1080,5.1
ToxicSamurai61,Apex Legends,13,2813,59,8.4
MysticByte51,GTA V,93,1260,1793,6.5
NightCrawler35,Apex Legends,84,2315,930,9.6
FrostByte76,Fortnite,71,1345,102,9.1
EchoStorm53,Valorant,80,2048,972,4.1
SolarFlare44,Apex Legends,53,4446,678,4.8
ThunderKid38,Apex Legends,48,4315,948,4.2
